,Name,Best Solution Cost,Optimal Value,Run Time,Implementation
0,A-n32-k5,885.5533337,784,2.38,"2-opt, shift-1, swap-2-2"
1,A-n32-k5,866.8102535,784,2.25,"2-opt, shift-1, swap-2-2"
2,A-n32-k5,901.5281791,784,2.38,"2-opt, shift-1, swap-2-2"
3,A-n32-k5,855.7838527,784,2.39,"2-opt, shift-1, swap-2-2"
4,A-n32-k5,903.9277351,784,2.47,"2-opt, shift-1, swap-2-2"
5,A-n32-k5,915.8957194,784,2.41,"2-opt, shift-1, swap-2-2"
6,A-n32-k5,946.1450795,784,2.39,"2-opt, shift-1, swap-2-2"
7,A-n32-k5,863.5559632,784,2.41,"2-opt, shift-1, swap-2-2"
8,A-n32-k5,920.068845,784,2.41,"2-opt, shift-1, swap-2-2"
9,A-n32-k5,850.8833099,784,2.22,"2-opt, shift-1, swap-2-2"
10,A-n32-k5,897.8534746,784,2.41,"2-opt, shift-1, swap-2-2"
11,A-n32-k5,910.8760537,784,2.38,"2-opt, shift-1, swap-2-2"
12,A-n32-k5,895.1577903,784,2.42,"2-opt, shift-1, swap-2-2"
13,A-n32-k5,963.2643134,784,2.42,"2-opt, shift-1, swap-2-2"
14,A-n32-k5,858.0699028,784,2.34,"2-opt, shift-1, swap-2-2"
15,A-n32-k5,928.0991888,784,2.21,"2-opt, shift-1, swap-2-2"
16,A-n32-k5,860.9663204,784,2.19,"2-opt, shift-1, swap-2-2"
17,A-n32-k5,857.0751299,784,2.26,"2-opt, shift-1, swap-2-2"
18,A-n32-k5,884.5259213,784,2.51,"2-opt, shift-1, swap-2-2"
19,A-n32-k5,953.8376306,784,2.4,"2-opt, shift-1, swap-2-2"
20,A-n32-k5,936.7743532,784,2.43,"2-opt, shift-1, swap-2-2"
21,A-n32-k5,936.9338036,784,2.4,"2-opt, shift-1, swap-2-2"
22,A-n32-k5,900.7048621,784,2.4,"2-opt, shift-1, swap-2-2"
23,A-n32-k5,870.2240165,784,2.41,"2-opt, shift-1, swap-2-2"
24,A-n32-k5,891.7399818,784,2.43,"2-opt, shift-1, swap-2-2"
25,A-n32-k5,860.116907,784,2.23,"2-opt, shift-1, swap-2-2"
26,A-n32-k5,899.8716299,784,2.4,"2-opt, shift-1, swap-2-2"
27,A-n32-k5,903.6116063,784,2.41,"2-opt, shift-1, swap-2-2"
28,A-n32-k5,920.7597758,784,2.16,"2-opt, shift-1, swap-2-2"
29,A-n32-k5,946.1578899,784,2.18,"2-opt, shift-1, swap-2-2"
30,A-n33-k5,757.9518762,661,2.37,"2-opt, shift-1, swap-2-2"
31,A-n33-k5,680.4052703,661,2.37,"2-opt, shift-1, swap-2-2"
32,A-n33-k5,753.0361539,661,2.38,"2-opt, shift-1, swap-2-2"
33,A-n33-k5,790.7283025,661,2.37,"2-opt, shift-1, swap-2-2"
34,A-n33-k5,733.1560111,661,2.39,"2-opt, shift-1, swap-2-2"
35,A-n33-k5,765.8863029,661,2.41,"2-opt, shift-1, swap-2-2"
36,A-n33-k5,752.0385896,661,2.38,"2-opt, shift-1, swap-2-2"
37,A-n33-k5,796.54821,661,2.39,"2-opt, shift-1, swap-2-2"
38,A-n33-k5,767.4627366,661,2.37,"2-opt, shift-1, swap-2-2"
39,A-n33-k5,710.974654,661,2.4,"2-opt, shift-1, swap-2-2"
40,A-n33-k5,706.2143904,661,2.37,"2-opt, shift-1, swap-2-2"
41,A-n33-k5,731.5685956,661,2.38,"2-opt, shift-1, swap-2-2"
42,A-n33-k5,790.7520011,661,2.35,"2-opt, shift-1, swap-2-2"
43,A-n33-k5,712.3380612,661,2.37,"2-opt, shift-1, swap-2-2"
44,A-n33-k5,743.0565097,661,2.36,"2-opt, shift-1, swap-2-2"
45,A-n33-k5,770.5531912,661,2.38,"2-opt, shift-1, swap-2-2"
46,A-n33-k5,729.3675899,661,2.39,"2-opt, shift-1, swap-2-2"
47,A-n33-k5,710.7779361,661,2.37,"2-opt, shift-1, swap-2-2"
48,A-n33-k5,811.3497249,661,2.39,"2-opt, shift-1, swap-2-2"
49,A-n33-k5,723.0045442,661,2.37,"2-opt, shift-1, swap-2-2"
50,A-n33-k5,759.0084458,661,2.37,"2-opt, shift-1, swap-2-2"
51,A-n33-k5,814.9596931,661,2.35,"2-opt, shift-1, swap-2-2"
52,A-n33-k5,740.0282395,661,2.37,"2-opt, shift-1, swap-2-2"
53,A-n33-k5,713.6952898,661,2.4,"2-opt, shift-1, swap-2-2"
54,A-n33-k5,729.3429587,661,2.4,"2-opt, shift-1, swap-2-2"
55,A-n33-k5,704.4592598,661,2.38,"2-opt, shift-1, swap-2-2"
56,A-n33-k5,746.1874752,661,2.39,"2-opt, shift-1, swap-2-2"
57,A-n33-k5,712.6445959,661,2.35,"2-opt, shift-1, swap-2-2"
58,A-n33-k5,757.7858127,661,2.38,"2-opt, shift-1, swap-2-2"
59,A-n33-k5,717.319103,661,2.35,"2-opt, shift-1, swap-2-2"
60,A-n33-k6,849.8478215,742,2.53,"2-opt, shift-1, swap-2-2"
61,A-n33-k6,875.5532421,742,2.51,"2-opt, shift-1, swap-2-2"
62,A-n33-k6,786.6264919,742,2.51,"2-opt, shift-1, swap-2-2"
63,A-n33-k6,810.0290763,742,2.73,"2-opt, shift-1, swap-2-2"
64,A-n33-k6,883.3665525,742,2.51,"2-opt, shift-1, swap-2-2"
65,A-n33-k6,831.8695695,742,2.5,"2-opt, shift-1, swap-2-2"
66,A-n33-k6,835.3791135,742,2.78,"2-opt, shift-1, swap-2-2"
67,A-n33-k6,805.4166703,742,2.51,"2-opt, shift-1, swap-2-2"
68,A-n33-k6,931.5057972,742,2.47,"2-opt, shift-1, swap-2-2"
69,A-n33-k6,814.8343077,742,2.5,"2-opt, shift-1, swap-2-2"
70,A-n33-k6,812.5723232,742,2.57,"2-opt, shift-1, swap-2-2"
71,A-n33-k6,785.5341509,742,2.54,"2-opt, shift-1, swap-2-2"
72,A-n33-k6,848.9792563,742,2.52,"2-opt, shift-1, swap-2-2"
73,A-n33-k6,842.7855381,742,2.52,"2-opt, shift-1, swap-2-2"
74,A-n33-k6,854.2156322,742,2.53,"2-opt, shift-1, swap-2-2"
75,A-n33-k6,844.927747,742,2.52,"2-opt, shift-1, swap-2-2"
76,A-n33-k6,886.552491,742,2.5,"2-opt, shift-1, swap-2-2"
77,A-n33-k6,900.7786665,742,2.49,"2-opt, shift-1, swap-2-2"
78,A-n33-k6,801.9924395,742,2.52,"2-opt, shift-1, swap-2-2"
79,A-n33-k6,822.2580112,742,2.49,"2-opt, shift-1, swap-2-2"
80,A-n33-k6,774.7728485,742,2.52,"2-opt, shift-1, swap-2-2"
81,A-n33-k6,866.6404061,742,2.47,"2-opt, shift-1, swap-2-2"
82,A-n33-k6,852.8312923,742,2.49,"2-opt, shift-1, swap-2-2"
83,A-n33-k6,857.6262657,742,2.48,"2-opt, shift-1, swap-2-2"
84,A-n33-k6,816.855278,742,2.5,"2-opt, shift-1, swap-2-2"
85,A-n33-k6,780.2513019,742,2.5,"2-opt, shift-1, swap-2-2"
86,A-n33-k6,798.4535812,742,2.5,"2-opt, shift-1, swap-2-2"
87,A-n33-k6,851.9194942,742,2.49,"2-opt, shift-1, swap-2-2"
88,A-n33-k6,777.1615466,742,2.5,"2-opt, shift-1, swap-2-2"
89,A-n33-k6,799.3997835,742,2.5,"2-opt, shift-1, swap-2-2"
90,A-n34-k5,917.7016455,778,2.36,"2-opt, shift-1, swap-2-2"
91,A-n34-k5,904.6001485,778,2.35,"2-opt, shift-1, swap-2-2"
92,A-n34-k5,846.2409496,778,2.42,"2-opt, shift-1, swap-2-2"
93,A-n34-k5,815.0748368,778,2.39,"2-opt, shift-1, swap-2-2"
94,A-n34-k5,860.1218491,778,2.38,"2-opt, shift-1, swap-2-2"
95,A-n34-k5,836.0367601,778,2.39,"2-opt, shift-1, swap-2-2"
96,A-n34-k5,947.4070527,778,2.35,"2-opt, shift-1, swap-2-2"
97,A-n34-k5,902.7886954,778,2.45,"2-opt, shift-1, swap-2-2"
98,A-n34-k5,937.2379794,778,2.42,"2-opt, shift-1, swap-2-2"
99,A-n34-k5,811.3764915,778,2.39,"2-opt, shift-1, swap-2-2"
100,A-n34-k5,870.634396,778,2.37,"2-opt, shift-1, swap-2-2"
101,A-n34-k5,890.2778931,778,2.42,"2-opt, shift-1, swap-2-2"
102,A-n34-k5,844.6677365,778,2.44,"2-opt, shift-1, swap-2-2"
103,A-n34-k5,837.8229422,778,2.38,"2-opt, shift-1, swap-2-2"
104,A-n34-k5,880.798589,778,2.57,"2-opt, shift-1, swap-2-2"
105,A-n34-k5,806.9538881,778,2.37,"2-opt, shift-1, swap-2-2"
106,A-n34-k5,844.6853789,778,2.37,"2-opt, shift-1, swap-2-2"
107,A-n34-k5,852.4701915,778,2.36,"2-opt, shift-1, swap-2-2"
108,A-n34-k5,857.5923073,778,2.36,"2-opt, shift-1, swap-2-2"
109,A-n34-k5,907.0389782,778,2.39,"2-opt, shift-1, swap-2-2"
110,A-n34-k5,884.3848753,778,2.38,"2-opt, shift-1, swap-2-2"
111,A-n34-k5,902.4044652,778,2.61,"2-opt, shift-1, swap-2-2"
112,A-n34-k5,871.4671806,778,2.37,"2-opt, shift-1, swap-2-2"
113,A-n34-k5,859.0091656,778,2.37,"2-opt, shift-1, swap-2-2"
114,A-n34-k5,846.5714508,778,2.34,"2-opt, shift-1, swap-2-2"
115,A-n34-k5,905.0312109,778,2.37,"2-opt, shift-1, swap-2-2"
116,A-n34-k5,888.015857,778,2.55,"2-opt, shift-1, swap-2-2"
117,A-n34-k5,806.1775899,778,2.35,"2-opt, shift-1, swap-2-2"
118,A-n34-k5,856.4793656,778,2.32,"2-opt, shift-1, swap-2-2"
119,A-n34-k5,921.6493819,778,2.35,"2-opt, shift-1, swap-2-2"
120,A-n36-k5,873.9810925,799,2.44,"2-opt, shift-1, swap-2-2"
121,A-n36-k5,954.4954691,799,2.43,"2-opt, shift-1, swap-2-2"
122,A-n36-k5,924.5873079,799,2.43,"2-opt, shift-1, swap-2-2"
123,A-n36-k5,878.9811678,799,2.43,"2-opt, shift-1, swap-2-2"
124,A-n36-k5,910.4826676,799,2.42,"2-opt, shift-1, swap-2-2"
125,A-n36-k5,883.3365899,799,2.44,"2-opt, shift-1, swap-2-2"
126,A-n36-k5,922.4910163,799,2.41,"2-opt, shift-1, swap-2-2"
127,A-n36-k5,931.0819995,799,2.46,"2-opt, shift-1, swap-2-2"
128,A-n36-k5,934.0824606,799,2.45,"2-opt, shift-1, swap-2-2"
129,A-n36-k5,934.6491957,799,2.45,"2-opt, shift-1, swap-2-2"
130,A-n36-k5,875.7544082,799,2.49,"2-opt, shift-1, swap-2-2"
131,A-n36-k5,962.3228307,799,2.44,"2-opt, shift-1, swap-2-2"
132,A-n36-k5,882.6581406,799,2.51,"2-opt, shift-1, swap-2-2"
133,A-n36-k5,936.4052537,799,2.46,"2-opt, shift-1, swap-2-2"
134,A-n36-k5,902.471603,799,2.52,"2-opt, shift-1, swap-2-2"
135,A-n36-k5,918.1200329,799,2.62,"2-opt, shift-1, swap-2-2"
136,A-n36-k5,879.1789441,799,2.7,"2-opt, shift-1, swap-2-2"
137,A-n36-k5,895.2101707,799,2.54,"2-opt, shift-1, swap-2-2"
138,A-n36-k5,925.405742,799,2.46,"2-opt, shift-1, swap-2-2"
139,A-n36-k5,949.4557905,799,2.49,"2-opt, shift-1, swap-2-2"
140,A-n36-k5,910.1979095,799,2.46,"2-opt, shift-1, swap-2-2"
141,A-n36-k5,932.6084352,799,2.57,"2-opt, shift-1, swap-2-2"
142,A-n36-k5,952.7168322,799,2.43,"2-opt, shift-1, swap-2-2"
